"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-30","6.26",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"37",",,W","30",",,W","  310",",,W","  330",",,W","15.0",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-31","4.03",",,W","0.06",",,W,2400","1.0",",,W,2400","0",",,W,2400",,,"34",",,W","26",",,W","   80",",,W","   80",",,W","12.1",",,W","15.0",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-01","5.82",",,W","0.00",",,W,2400","0.0",",,W,2400","0","T,,W,2400",,,"47",",,W","33",",,W","  260",",,W","  250",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-02","5.37",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"45",",,W","32",",,W","  280",",,W","  300",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-03","6.71",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"33",",,W","26",",,W","  310",",,W","  310",",,W","17.0",",,W","29.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-04","8.50",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"34",",,W","22",",,W","  310",",,W","  310",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-05","7.16",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"43",",,W","31",",,W","  230",",,W","  240",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-06","5.14",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"49",",,W","36",",,W","  170",",,W","  270",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-07","6.71",",,W","0.27",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"42",",,W","36",",,W","   60",",,W","   70",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-08","4.70",",,W","0.03",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"62",",,W","38",",,W","  360",",,W","   30",",,W","13.0",",,W","17.0",",,W","    1",",,W",,,,,,,"    1",",,W"
